id,name,artist,album,duration,uri
"1CQqupcyMg7176PPmIVmSj","Renegade","Styx","Pieces Of Eight","?",""
"6cr6UDpkjEaMQ80OjWqEBQ","Sultans of Swing","Dire Straits","Dire Straits","?",""
"78lgmZwycJ3nzsdgmPPGNx","Immigrant Song - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","?",""
"6EOKwO6WaLal58MSsi6U4W","Eleanor Rigby","The Beatles","Yellow Submarine Songtrack","?",""
"0ju1jP0cSPJ8tmojYBEI89","Danny's Song","Loggins & Messina","The Best: Loggins & Messina Sittin' In Again","?",""
"5L6HNuXN71bfeuKXYtRasF","Walk Like an Egyptian","The Bangles","Different Light (Expanded Edition)","?",""
"5ycVJufpq4ad1mqA5JfNQS","Fighting Gold","Coda","Fighting Gold","?",""
"17ak2L9hb5BXExDRRZ1owi","CRAZY NOISY BIZARRE TOWN","THE DU","CRAZY NOISY BIZARRE TOWN","?",""
"5QKiW2Oogj7T5KoI1Wcl2u","chase","batta","chase","?",""
"6pUzumbsozSwKEaDmDG9E0","last christmas - slowed + reverb","slō, twilight, Tazzy","last christmas - slowed + reverb","?",""
"2FRnf9qhLbvw8fu4IBXx78","Last Christmas","Wham!","LAST CHRISTMAS","?",""
"43aktSsHN3Pgu0dzw3BS5W","Memory Bank","Dyro, Conro","Memory Bank","?",""
"7kUljt0NM5sISL3OGNVxYd","Royalty","Egzod, Maestro Chives","Royalty","?",""
"1lOEAEh1mXRztzDedTx0KT","dying breath","updog","balloon boy","?",""
"2BWvYAUFu7pBDKjfwWf4J6","spearhead","updog","balloon boy","?",""
"6U8OunNdqjWHh6zZzTjiBF","Dear God","Confetti","Dear God","?",""
"30uCmqegKQnH5AbOE51gPD","Ghost","Confetti","Ghost","?",""
"6Nd6ntkzr4t8o1FKPGOSMt","Here I Go Again - 2018 Remaster","Whitesnake","Whitesnake (2018 Remaster)","?",""
"4ulOJhLqbDeBFEbYVX6yjG","Human Condition","Sjowgren","Human Condition","?",""
"28P5HAF0Kll9Xd9dX4qw7A","Eye of the Tiger","Survivor","Eye Of The Tiger","?",""
"5yaEx1flpZmNBiPyAT8iUx","Lost Kitten","Metric","Synthetica (Deluxe Edition)","?",""
"1rbieHTuGFWstwVk9o7Fgr","Banana Man","Tally Hall","Marvin's Marvelous Mechanical Museum","?",""
"1BpKJw4RZxaFB88NE5uxXf","ILoveUIHateU","Playboi Carti","Whole Lotta Red","?",""
"27ctYkjFe2X9r6qG8j6dcs","Summer Breeze","PIPER","Summer Breeze","?",""
"0W9pobrdXIEnjrMusxTn0D","Outside (Hardstyle)","crypvolk","Outside (Hardstyle)","?",""
"7MmG8p0F9N3C4AXdK6o6Eb","Outside (feat. Ellie Goulding)","Calvin Harris, Ellie Goulding","Motion","?",""
"2ISSQPb9LHHiV6ng2NXosL","Beautiful Now","Zedd, Jon Bellion","True Colors","?",""
